a,b,c
1.0,4.0,0.16016301873070016
1.0,4.0,0.11088164853986553
1.0,0.0,0.20979866508542333
1.0,0.0,0.16168369511251257
1.0,1.0,0.24886804290783965
1.0,1.0,0.24364491638734267
1.0,1.0,0.20315350202645027
1.0,1.0,0.24424410231695157
1.0,0.0,0.10658726020972158
1.0,1.0,0.20055795597641476
1.0,1.0,0.17255526874034638
1.0,1.0,0.10973301778962176
1.0,2.0,0.13186683068820743
1.0,0.0,0.2333882784467919
1.0,1.0,0.1012140865444498
1.0,2.0,0.24691051295046063
1.0,1.0,0.10302144436279807
1.0,0.0,0.15477406569055407
1.0,1.0,0.1250728599703228
1.0,1.0,0.22504223914189472
1.0,1.0,0.18573049749649312
1.0,2.0,0.24946795917232004
1.0,1.0,0.14042625178185156
1.0,1.0,0.11109602587621967
1.0,1.0,0.1162845011549479
1.0,0.0,0.1991062638337494
1.0,1.0,0.22465209788802443
1.0,1.0,0.12655469268760264
1.0,1.0,0.17156085293458315
1.0,2.0,0.2234465188010718
1.0,1.0,0.14610652179519268
1.0,1.0,0.15065527122826233
1.0,1.0,0.10449827983607327
1.0,1.0,0.20232487926866194
1.0,1.0,0.18921662317827936
1.0,1.0,0.1642808727253478
1.0,3.0,0.10900251976343409
1.0,1.0,0.2165278346824546
1.0,1.0,0.21727006196007964
1.0,1.0,0.2156937976036315
1.0,1.0,0.15981115476801333
1.0,2.0,0.2035897344315798
1.0,1.0,0.2014236335047122
1.0,1.0,0.17095220779696593
1.0,1.0,0.15246696373030774
1.0,1.0,0.11041223992337189
1.0,1.0,0.1277125597369172
1.0,0.0,0.20526547300478565
1.0,1.0,0.19226063274249872
1.0,1.0,0.10095066220526175
1.0,2.0,0.14809649654323112
1.0,1.0,0.11487442913213196
1.0,1.0,0.10013658845407865
1.0,0.0,0.16256939712394564
1.0,3.0,0.18235235156178706
1.0,2.0,0.1630957259531622
1.0,4.0,0.19844715504060695
1.0,1.0,0.15559141740831714
1.0,1.0,0.10707924411960881
1.0,0.0,0.2399910355539426
1.0,0.0,0.14960341826605766
1.0,1.0,0.10551632543326762
1.0,1.0,0.19511465276652568
1.0,1.0,0.21946310921020695
1.0,2.0,0.11328450900751572
1.0,1.0,0.23664809240852627
1.0,1.0,0.11325494494438476
1.0,1.0,0.16117240158746382
1.0,1.0,0.22926055520183744
1.0,1.0,0.15760027426740084
1.0,1.0,0.19501264052285355
1.0,1.0,0.1661012798616564
1.0,1.0,0.16565512341476013
1.0,1.0,0.23854693526611856
1.0,1.0,0.24933968495013212
1.0,2.0,0.1913802657010069
1.0,1.0,0.19284695430678042
1.0,1.0,0.1935409883108836
1.0,2.0,0.24303441571039144
1.0,1.0,0.19069324640975543
1.0,1.0,0.17201047262081948
1.0,2.0,0.10317580537865223
1.0,1.0,0.15245032435051098
1.0,1.0,0.1681875847034155
1.0,1.0,0.24284258376258813
1.0,1.0,0.2108106783899082
1.0,1.0,0.19265901951234082
1.0,1.0,0.2095647749385663
1.0,1.0,0.24023709368130175
1.0,1.0,0.13449356787744984
1.0,1.0,0.14656090734087304
1.0,1.0,0.17131054651138955
1.0,1.0,0.16493529200873447
1.0,4.0,0.15740830413342127
1.0,2.0,0.10179247714848633
1.0,2.0,0.11571213075638141
1.0,1.0,0.17858617144743866
1.0,1.0,0.23879751308150596
1.0,1.0,0.22990052231953118
1.0,1.0,0.20923749750867032
1.0,1.0,0.14875223208636637
1.0,1.0,0.15144705197019312
1.0,1.0,0.22627673206751991
1.0,1.0,0.12130842596013591
