qid,difficulty,problem,answer_option_list,answer_value,tag
3,4,Compute the average angular acceleration and the angular displacement during the 2 seconds a rotating object speeds up from 0.5 rad/s to 0.7 rad/s. ,"[[{'aoVal': 'A', 'content': 'a = 0.1 rad/s\\textsuperscript{2}~$\\Delta\\theta$~= 0.3 radians '}], [{'aoVal': 'B', 'content': 'a = 0.2 rad/s\\textsuperscript{2~}$\\Delta\\theta$~= 0.5 radians '}], [{'aoVal': 'C', 'content': 'a = 0.1 rad/s\\textsuperscript{2~}$\\Delta\\theta$~= 1.2 radians '}], [{'aoVal': 'D', 'content': 'a = 0.2 rad/s\\textsuperscript{2~}$\\Delta\\theta$~= 1.2 radians '}]]",C,Number Theory Modules
12,4,"A 35 kg child ziplines from rest on a platform 12 m high to the ground with negligible friction. In the last 8 m of the zipline, which is approximately horizontal, a braking mechanism applies a constant force opposing the motion to slow the child down so that she\textquotesingle s traveling at 2.5 m/s when she finally lands on the safety padding at the end. The padding compresses for1.5 s when the child lands on it and stops.  $\textasciitilde$  What is the magnitude of the force applied by the braking mechanism? ","[[{'aoVal': 'A', 'content': '$$350N$$ '}], [{'aoVal': 'B', 'content': '$$511N$$ '}], [{'aoVal': 'C', 'content': '$$525N$$ '}], [{'aoVal': 'D', 'content': '$$4090N$$ '}]]",B,Number Theory Modules
14,0,The $$7$$-digit number $$\overline{123P688}$$ is divisible by $$8$$. How many possible values are there for $$P$$? ,"[[{'aoVal': 'A', 'content': '$$3$$ '}], [{'aoVal': 'B', 'content': '$$5$$ '}], [{'aoVal': 'C', 'content': '$$6$$ '}], [{'aoVal': 'D', 'content': '$$9$$ '}], [{'aoVal': 'E', 'content': '$$10$$ '}]]",E,Division without Remainders
18,0,What is the value of the digit $7$ in the number $32.679$? ,"[[{'aoVal': 'A', 'content': 'seven hundred '}], [{'aoVal': 'B', 'content': '\\emph{seventy} '}], [{'aoVal': 'C', 'content': 'seven tenths '}], [{'aoVal': 'D', 'content': 'seven hundredths '}], [{'aoVal': 'E', 'content': 'seven thousandths '}]]",D,Understanding Numbers and Digits
23,1,George buys boxes of mangoes for $$$16$$ each and sells them for $$$23$$ per box. How many boxes of mangoes would he have to sell to make $$$56$$? ,"[[{'aoVal': 'A', 'content': '$$9$$ '}], [{'aoVal': 'B', 'content': '$$8$$ '}], [{'aoVal': 'C', 'content': '$$5$$ '}], [{'aoVal': 'D', 'content': '$$10$$ '}], [{'aoVal': 'E', 'content': '$$7$$ '}]]",B,Number Theory Modules
25,1,Find a whole number between $$0$$ and $$100$$ that has the following properties.  When the number is divided by $$5$$ the remainder is $$4$$.  When the number is divided by $$6$$ the remainder is $$0$$.  When the number is divided by $$7$$ the remainder is $$0$$.  What is the number? ,"[[{'aoVal': 'A', 'content': '$$42$$ '}], [{'aoVal': 'B', 'content': '$$84$$ '}], [{'aoVal': 'C', 'content': '$$46$$ '}], [{'aoVal': 'D', 'content': '$$90$$ '}]]",B,Questions Involving Remainders
27,1,l am a four$$-$$digit number. The digit in the ones place is $$9$$. The digit in the thousands place has a value of $$1000$$. The digit in the tens place is twice the digit in the hundreds place. What number am I? ,"[[{'aoVal': 'A', 'content': '$$1009$$ '}], [{'aoVal': 'B', 'content': '$$1209$$ '}], [{'aoVal': 'C', 'content': '$$1249$$ '}], [{'aoVal': 'D', 'content': '$$1429$$ '}]]",C,Numbers
28,1,"Without calculating, determine if the following sums are odd or even.  $$25\times 3$$ is an~\uline{~~~~~~~~~~}~number，$$45\times 2$$ is an~\uline{~~~~~~~~~~}~number，$$33\times 5\times 7\times 9\times 8\times 11\times 13$$ is an~\uline{~~~~~~~~~~}~number． ~\hspace{0pt}\hspace{0pt}\hspace{0pt}\hspace{0pt}\hspace{0pt}\hspace{0pt} ","[[{'aoVal': 'A', 'content': 'odd, odd, even '}], [{'aoVal': 'B', 'content': 'odd, even, odd '}], [{'aoVal': 'C', 'content': 'odd, even, even '}], [{'aoVal': 'D', 'content': 'even, odd, even '}]]",C,Odd and Even Numbers
30,0,$$1$$ ,"[[{'aoVal': 'A', 'content': '$$1$$ '}], [{'aoVal': 'B', 'content': '$$2$$ '}]]",B,Division without Remainders
31,1,"$LCM[5,15]=$ ","[[{'aoVal': 'A', 'content': '$$75$$ '}], [{'aoVal': 'B', 'content': '$$45$$ '}], [{'aoVal': 'C', 'content': '$$30$$ '}], [{'aoVal': 'D', 'content': '$$15$$ '}]]",D,Least Common Multiple of Two Numbers
